locus_tag	kegg_pathway_id	kegg_pathway	organism
spr1276	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1277	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1300	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1321	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1322	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1351	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1358	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1359	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1360	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1361	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1362	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1363	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1364	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1365	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1366	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1373	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1376	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1377	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1384	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1399	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1414	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1417	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1429	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1432	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1434	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1435	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1443	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1444	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1450	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1456	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1460	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1465	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1487	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1490	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1499	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1514	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1515	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1517	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1520	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1528	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1529	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1531	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1536	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1540	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1541	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1542	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1543	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1565	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1568	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1571	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1580	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1583	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1592	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1603	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1617	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1631	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1632	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1633	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1634	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1635	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1636	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1637	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1647	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1648	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1662	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1667	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1668	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1683	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1695	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1696	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1698	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1709	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1713	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1715	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1725	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1775	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1781	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1783	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1785	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1789	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1792	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1796	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1797	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1798	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1808	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1812	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1823	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1825	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
