locus_tag	kegg_pathway_id	kegg_pathway	organism
SCO0199	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO0208	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO0434	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO0578	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1077	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1174	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1214	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1390	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1705	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1706	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1942	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1945	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1946	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO1947	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO2014	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO2119	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO2126	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO2180	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
SCO2181	sco00010	Glycolysis / Gluconeogenesis	Streptomyces coelicolor ATCC BAA-471 / A32 / M145
