locus_tag	kegg_pathway_id	kegg_pathway	organism
PP_0338	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_0339	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_0545	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_0553	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1009	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1011	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1165	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1362	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1612	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1616	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1777	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_1808	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
PP_2082	ppu00010	Glycolysis / Gluconeogenesis	Pseudomonas putida ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440
