locus_tag	kegg_pathway_id	kegg_pathway
SPy_1810	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1811	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_2201	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_2202	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0784	spy00521	Streptomycin biosynthesis
SPy_0933	spy00521	Streptomycin biosynthesis
SPy_0935	spy00521	Streptomycin biosynthesis
SPy_0936	spy00521	Streptomycin biosynthesis
SPy_1224	spy00521	Streptomycin biosynthesis
SPy_1247	spy00521	Streptomycin biosynthesis
SPy_1529	spy00521	Streptomycin biosynthesis
SPy_0784	spy00523	Polyketide sugar unit biosynthesis
SPy_0933	spy00523	Polyketide sugar unit biosynthesis
SPy_0935	spy00523	Polyketide sugar unit biosynthesis
SPy_0936	spy00523	Polyketide sugar unit biosynthesis
SPy_0933	spy00525	Acarbose and validamycin biosynthesis
SPy_0936	spy00525	Acarbose and validamycin biosynthesis
SPy_0224	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0443	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0542	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0784	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0933	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0935	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0936	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_1503	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_1810	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_2201	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_2202	spy00541	O-Antigen nucleotide sugar biosynthesis
SPy_0282	spy00542	O-Antigen repeat unit biosynthesis
SPy_0282	spy00543	Exopolysaccharide biosynthesis
SPy_1944	spy00543	Exopolysaccharide biosynthesis
SPy_0097	spy00550	Peptidoglycan biosynthesis
SPy_0280	spy00550	Peptidoglycan biosynthesis
SPy_0292	spy00550	Peptidoglycan biosynthesis
SPy_0345	spy00550	Peptidoglycan biosynthesis
SPy_0374	spy00550	Peptidoglycan biosynthesis
SPy_0388	spy00550	Peptidoglycan biosynthesis
SPy_0475	spy00550	Peptidoglycan biosynthesis
SPy_0615	spy00550	Peptidoglycan biosynthesis
SPy_0616	spy00550	Peptidoglycan biosynthesis
SPy_0763	spy00550	Peptidoglycan biosynthesis
SPy_1034	spy00550	Peptidoglycan biosynthesis
SPy_1035	spy00550	Peptidoglycan biosynthesis
SPy_1093	spy00550	Peptidoglycan biosynthesis
SPy_1101	spy00550	Peptidoglycan biosynthesis
SPy_1205	spy00550	Peptidoglycan biosynthesis
SPy_1358	spy00550	Peptidoglycan biosynthesis
SPy_1420	spy00550	Peptidoglycan biosynthesis
SPy_1421	spy00550	Peptidoglycan biosynthesis
SPy_1524	spy00550	Peptidoglycan biosynthesis
SPy_1525	spy00550	Peptidoglycan biosynthesis
