locus_tag	kegg_pathway_id	kegg_pathway
SPy_1864	spy03030	DNA replication
SPy_1961	spy03030	DNA replication
SPy_2182	spy03030	DNA replication
SPy_0073	spy03060	Protein export
SPy_0127	spy03060	Protein export
SPy_0247	spy03060	Protein export
SPy_0351	spy03060	Protein export
SPy_0502	spy03060	Protein export
SPy_0569	spy03060	Protein export
SPy_0826	spy03060	Protein export
SPy_1200	spy03060	Protein export
SPy_1281	spy03060	Protein export
SPy_1805	spy03060	Protein export
SPy_1842	spy03060	Protein export
SPy_1968	spy03060	Protein export
SPy_2058	spy03060	Protein export
SPy_0073	spy03070	Bacterial secretion system
SPy_0247	spy03070	Bacterial secretion system
SPy_0351	spy03070	Bacterial secretion system
SPy_0502	spy03070	Bacterial secretion system
SPy_0569	spy03070	Bacterial secretion system
SPy_1200	spy03070	Bacterial secretion system
SPy_1805	spy03070	Bacterial secretion system
SPy_1968	spy03070	Bacterial secretion system
SPy_2058	spy03070	Bacterial secretion system
SPy_0457	spy03250	Viral life cycle
SPy_0185	spy03410	Base excision repair
SPy_0412	spy03410	Base excision repair
SPy_0497	spy03410	Base excision repair
SPy_0751	spy03410	Base excision repair
SPy_0905	spy03410	Base excision repair
SPy_0926	spy03410	Base excision repair
SPy_0929	spy03410	Base excision repair
SPy_1833	spy03410	Base excision repair
SPy_2118	spy03410	Base excision repair
SPy_0008	spy03420	Nucleotide excision repair
SPy_0185	spy03420	Nucleotide excision repair
SPy_0751	spy03420	Nucleotide excision repair
SPy_1068	spy03420	Nucleotide excision repair
SPy_1267	spy03420	Nucleotide excision repair
SPy_1314	spy03420	Nucleotide excision repair
SPy_1825	spy03420	Nucleotide excision repair
SPy_0003	spy03430	Mismatch repair
SPy_0400	spy03430	Mismatch repair
SPy_0751	spy03430	Mismatch repair
SPy_0926	spy03430	Mismatch repair
SPy_1267	spy03430	Mismatch repair
SPy_1284	spy03430	Mismatch repair
SPy_1364	spy03430	Mismatch repair
SPy_1407	spy03430	Mismatch repair
SPy_1499	spy03430	Mismatch repair
SPy_1500	spy03430	Mismatch repair
SPy_1830	spy03430	Mismatch repair
SPy_1837	spy03430	Mismatch repair
SPy_1864	spy03430	Mismatch repair
SPy_1961	spy03430	Mismatch repair
SPy_2121	spy03430	Mismatch repair
SPy_2148	spy03430	Mismatch repair
SPy_0003	spy03440	Homologous recombination
SPy_0021	spy03440	Homologous recombination
SPy_0038	spy03440	Homologous recombination
SPy_0185	spy03440	Homologous recombination
SPy_0400	spy03440	Homologous recombination
SPy_0926	spy03440	Homologous recombination
SPy_1284	spy03440	Homologous recombination
SPy_1364	spy03440	Homologous recombination
SPy_1407	spy03440	Homologous recombination
SPy_1422	spy03440	Homologous recombination
SPy_1629	spy03440	Homologous recombination
SPy_1785	spy03440	Homologous recombination
SPy_1830	spy03440	Homologous recombination
SPy_1844	spy03440	Homologous recombination
SPy_1864	spy03440	Homologous recombination
SPy_1961	spy03440	Homologous recombination
SPy_2116	spy03440	Homologous recombination
SPy_2119	spy03440	Homologous recombination
SPy_2204	spy03440	Homologous recombination
SPy_0816	spy04122	Sulfur relay system
SPy_0817	spy04122	Sulfur relay system
SPy_1122	spy04122	Sulfur relay system
SPy_2188	spy04122	Sulfur relay system
