locus_tag	kegg_pathway_id	kegg_pathway	organism
ECBD_0113	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0141	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0142	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0342	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0808	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0812	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0813	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0836	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_0950	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1009	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1010	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1237	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1264	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1284	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1560	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1784	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1864	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1865	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1911	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1922	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1944	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_1969	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2024	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2161	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2224	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2246	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2383	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2500	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2592	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2912	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_2973	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_3301	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_3332	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_3503	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_3504	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
ECBD_3505	ebd00010	Glycolysis / Gluconeogenesis	Escherichia coli B / BL21-DE3
