locus_tag	kegg_pathway_id	kegg_pathway	organism
STM14_0183	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_0184	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_0185	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_0815	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_0896	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_0898	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1270	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1377	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1563	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1565	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1598	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1610	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1639	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1672	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1891	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1968	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_1995	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_2113	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_2296	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_2642	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_2956	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_2991	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_3019	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_3322	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_3557	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_3684	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_3708	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_3709	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4215	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4438	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4464	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4554	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4833	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4840	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4863	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4885	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4906	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_4911	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_5075	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_5141	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_5302	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_5383	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_5506	seo00010	Glycolysis / Gluconeogenesis	Salmonella typhimurium 14028s / SGSC 2262
STM14_0183	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0184	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0185	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0190	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0849	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0851	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0852	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0853	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0854	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0855	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0856	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0857	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0858	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0885	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_0886	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_1416	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_1485	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_1682	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_1770	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_1772	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_1995	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_2070	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_4052	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_4215	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_5173	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_5220	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_5221	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_5222	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
STM14_5223	seo00020	Citrate cycle (TCA cycle)	Salmonella typhimurium 14028s / SGSC 2262
