locus_tag	kegg_pathway_id	kegg_pathway	organism
BSU03050	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU03410	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU05840	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU08080	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU08090	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU09310	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU13890	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU14580	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU14590	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU14600	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU14610	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU18360	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU19310	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU22230	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU24060	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU24850	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU26970	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU27010	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU29020	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU29180	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU29190	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU29560	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU29680	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU30560	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU31350	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU33900	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU33910	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU33920	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU33930	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU33940	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU37090	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU37120	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU37960	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU38560	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU38830	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU39260	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU39860	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU40110	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU40120	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU40190	bsu00010	Glycolysis / Gluconeogenesis	Bacillus subtilis 168
BSU08080	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU08090	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU09440	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU14580	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU14590	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU14600	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU14610	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU14860	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU16090	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU16100	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU18000	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU19360	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU19370	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU24060	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU24140	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU28430	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU28440	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU28450	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU29120	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU29130	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU29140	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU30560	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU33040	bsu00020	Citrate cycle (TCA cycle)	Bacillus subtilis 168
BSU00510	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU02830	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU03450	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU03460	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU03930	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU09310	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU13010	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU15790	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU17890	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU22100	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU22110	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU23500	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU23850	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU23860	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU25730	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU29190	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU31350	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU34680	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU35920	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU36920	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU37090	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU37110	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU37120	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU39420	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU40060	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU40080	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU40190	bsu00030	Pentose phosphate pathway	Bacillus subtilis 168
BSU02470	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU04200	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU06150	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU07130	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU07560	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU12300	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU12340	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU12380	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU12390	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU15790	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU17600	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU17610	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU18180	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU22130	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU22140	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU28780	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU28790	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU28800	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU30850	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU30860	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
BSU31200	bsu00040	Pentose and glucuronate interconversions	Bacillus subtilis 168
